"year","sec","yy"
1980,"fossil",20.050995
1981,"fossil",19.575525
1982,"fossil",19.341339
1983,"fossil",19.533798
1984,"fossil",20.167279
1985,"fossil",20.826366
1986,"fossil",21.066477
1987,"fossil",21.61235
1988,"fossil",22.430471
1989,"fossil",22.786034
1990,"fossil",22.401629
1991,"fossil",22.684528
1992,"fossil",22.129803
1993,"fossil",22.304443
1994,"fossil",22.437927
1995,"fossil",22.988444
1996,"fossil",23.724979
1997,"fossil",23.910335
1998,"fossil",23.834757
1999,"fossil",24.365184
2000,"fossil",25.049323
2001,"fossil",25.29858
2002,"fossil",25.954274
2003,"fossil",27.305101
2004,"fossil",28.303116
2005,"fossil",29.393482
2006,"fossil",30.209034
2007,"fossil",31.020255
2008,"fossil",31.465677
2009,"fossil",30.891701
2010,"fossil",32.35398
2011,"fossil",33.51764
2012,"fossil",33.999631
2013,"fossil",34.366027
2014,"fossil",34.721973
2015,"fossil",34.86667
2016,"fossil",34.92339
2017,"fossil",35.648595
2018,"fossil",36.280831
2019,"fossil",36.325413
2020,"fossil",34.570444
2021,"fossil",36.297822
2022,"fossil",36.458631
2023,"fossil",36.968771
1980,"net",25.01852712
1981,"net",24.40546476
1982,"net",23.88503792
1983,"net",24.318753
1984,"net",25.8063582
1985,"net",26.11732856
1986,"net",26.59365764
1987,"net",26.95215368
1988,"net",27.60145588
1989,"net",27.73937728
1990,"net",27.37822952
1991,"net",27.654515
1992,"net",27.38780788
1993,"net",27.27830468
1994,"net",28.3273032
1995,"net",28.42084612
1996,"net",29.73752056
1997,"net",31.31690032
1998,"net",29.97922088
1999,"net",30.3680984
2000,"net",30.34654184
2001,"net",30.06382268
2002,"net",31.08239008
2003,"net",33.38078244
2004,"net",33.7071038
2005,"net",34.284464
2006,"net",35.54117992
2007,"net",35.61483772
2008,"net",36.3459876
2009,"net",36.16568092
2010,"net",37.84189172
2011,"net",38.7959068
2012,"net",39.65152504
2013,"net",39.48218012
2014,"net",40.11816564
2015,"net",40.3982566
2016,"net",39.32964312
2017,"net",39.87961732
2018,"net",40.12554864
2019,"net",40.112157
2020,"net",38.00943776
2021,"net",39.85060128
2022,"net",39.99966716
2023,"net",40.59367612
1980,"ghg",28.157845
1981,"ghg",27.598005
1982,"ghg",27.458827
1983,"ghg",27.718961
1984,"ghg",28.434047
1985,"ghg",29.135219
1986,"ghg",29.46355
1987,"ghg",30.139664
1988,"ghg",31.029145
1989,"ghg",31.516124
1990,"ghg",31.174714
1991,"ghg",31.385011
1992,"ghg",30.793924
1993,"ghg",30.953012
1994,"ghg",31.130668
1995,"ghg",31.861154
1996,"ghg",32.76437
1997,"ghg",32.963882
1998,"ghg",32.970782
1999,"ghg",33.531244
2000,"ghg",34.276095
2001,"ghg",34.529629
2002,"ghg",35.22438
2003,"ghg",36.816355
2004,"ghg",38.063603
2005,"ghg",39.337187
2006,"ghg",40.349108
2007,"ghg",41.256945
2008,"ghg",41.77868
2009,"ghg",41.209968
2010,"ghg",42.909655
2011,"ghg",44.249687
2012,"ghg",44.815392
2013,"ghg",45.259428
2014,"ghg",45.684236
2015,"ghg",45.876163
2016,"ghg",46.081684
2017,"ghg",47.02336
2018,"ghg",47.81046
2019,"ghg",47.894831
2020,"ghg",46.237803
2021,"ghg",48.25032
2022,"ghg",48.449599
2023,"ghg",49.129841
1980,"nonco2",8.10685
1981,"nonco2",8.02248
1982,"nonco2",8.117488
1983,"nonco2",8.185163
1984,"nonco2",8.266768
1985,"nonco2",8.308853
1986,"nonco2",8.397073
1987,"nonco2",8.527314
1988,"nonco2",8.598674
1989,"nonco2",8.73009
1990,"nonco2",8.773085
1991,"nonco2",8.700483
1992,"nonco2",8.664121
1993,"nonco2",8.648569
1994,"nonco2",8.692741
1995,"nonco2",8.87271
1996,"nonco2",9.039391
1997,"nonco2",9.053547
1998,"nonco2",9.136025
1999,"nonco2",9.16606
2000,"nonco2",9.226772
2001,"nonco2",9.231049
2002,"nonco2",9.270106
2003,"nonco2",9.511254
2004,"nonco2",9.760487
2005,"nonco2",9.943705
2006,"nonco2",10.140074
2007,"nonco2",10.23669
2008,"nonco2",10.313003
2009,"nonco2",10.318267
2010,"nonco2",10.555675
2011,"nonco2",10.732047
2012,"nonco2",10.815761
2013,"nonco2",10.893401
2014,"nonco2",10.962263
2015,"nonco2",11.009493
2016,"nonco2",11.158294
2017,"nonco2",11.374765
2018,"nonco2",11.529629
2019,"nonco2",11.569418
2020,"nonco2",11.667359
2021,"nonco2",11.952498
2022,"nonco2",11.990968
2023,"nonco2",12.16107
1980,"land",4.96753212
1981,"land",4.82993976
1982,"land",4.54369892
1983,"land",4.784955
1984,"land",5.6390792
1985,"land",5.29096256
1986,"land",5.52718064
1987,"land",5.33980368
1988,"land",5.17098488
1989,"land",4.95334328
1990,"land",4.97660052
1991,"land",4.969987
1992,"land",5.25800488
1993,"land",4.97386168
1994,"land",5.8893762
1995,"land",5.43240212
1996,"land",6.01254156
1997,"land",7.40656532
1998,"land",6.14446388
1999,"land",6.0029144
2000,"land",5.29721884
2001,"land",4.76524268
2002,"land",5.12811608
2003,"land",6.07568144
2004,"land",5.4039878
2005,"land",4.890982
2006,"land",5.33214592
2007,"land",4.59458272
2008,"land",4.8803106
2009,"land",5.27397992
2010,"land",5.48791172
2011,"land",5.2782668
2012,"land",5.65189404
2013,"land",5.11615312
2014,"land",5.39619264
2015,"land",5.5315866
2016,"land",4.40625312
2017,"land",4.23102232
2018,"land",3.84471764
2019,"land",3.786744
2020,"land",3.43899376
2021,"land",3.55277928
2022,"land",3.54103616
2023,"land",3.62490512
1980,"pops",4.447606236
1981,"pops",4.528777306
1982,"pops",4.612673421
1983,"pops",4.697327573
1984,"pops",4.782175519
1985,"pops",4.868943465
1986,"pops",4.958072838
1987,"pops",5.049746397
1988,"pops",5.141992542
1989,"pops",5.234431732
1990,"pops",5.32780311
1991,"pops",5.418735891
1992,"pops",5.505989816
1993,"pops",5.591544797
1994,"pops",5.675551255
1995,"pops",5.758878982
1996,"pops",5.842055734
1997,"pops",5.924787816
1998,"pops",6.00706669
1999,"pops",6.089006339
2000,"pops",6.171702993
2001,"pops",6.254936459
2002,"pops",6.337730342
2003,"pops",6.420361634
2004,"pops",6.503377772
2005,"pops",6.586970132
2006,"pops",6.671452015
2007,"pops",6.757308781
2008,"pops",6.844457662
2009,"pops",6.932766416
2010,"pops",7.021732148
2011,"pops",7.110923765
2012,"pops",7.201202485
2013,"pops",7.291793585
2014,"pops",7.381616244
2015,"pops",7.470491872
2016,"pops",7.558554526
2017,"pops",7.645617954
2018,"pops",7.729902781
2019,"pops",7.811293698
2020,"pops",7.887001292
2021,"pops",7.954448391
2022,"pops",8.021407192
2023,"pops",8.09173493
1980,"avgfossil",4.50826668010814
1981,"avgfossil",4.32247462776877
1982,"avgfossil",4.19308657576866
1983,"avgfossil",4.15849175865002
1984,"avgfossil",4.21717666360711
1985,"avgfossil",4.27738916044284
1986,"avgfossil",4.24892446890672
1987,"avgfossil",4.27988819653194
1988,"avgfossil",4.36221383379828
1989,"avgfossil",4.35310558368746
1990,"avgfossil",4.20466532593018
1991,"avgfossil",4.18631364515787
1992,"avgfossil",4.01922338027078
1993,"avgfossil",3.98895901039135
1994,"avgfossil",3.95343570903933
1995,"avgfossil",3.99182619948307
1996,"avgfossil",4.06106687102003
1997,"avgfossil",4.03564410111527
1998,"avgfossil",3.96778631402209
1999,"avgfossil",4.00150412784781
2000,"avgfossil",4.05873760101728
2001,"avgfossil",4.04457825684205
2002,"avgfossil",4.09520011099267
2003,"avgfossil",4.25289143455747
2004,"avgfossil",4.35206395695753
2005,"avgfossil",4.46236758493928
2006,"avgfossil",4.52810481617471
2007,"avgfossil",4.59062268801773
2008,"avgfossil",4.59724912533179
2009,"avgfossil",4.45589814315763
2010,"avgfossil",4.60769213608004
2011,"avgfossil",4.71354230584977
2012,"avgfossil",4.72138244561526
2013,"avgfossil",4.71297309768815
2014,"avgfossil",4.70384423305981
2015,"avgfossil",4.66725225024112
2016,"avgfossil",4.6203794495191
2017,"avgfossil",4.66261788314305
2018,"avgfossil",4.69356886210494
2019,"avgfossil",4.65037091222172
2020,"avgfossil",4.38321774272634
2021,"avgfossil",4.56321044725979
2022,"avgfossil",4.54516646859186
2023,"avgfossil",4.56870761583388
1980,"avgghg",6.33101122398912
1981,"avgghg",6.09391964657579
1982,"avgghg",5.95290940715397
1983,"avgghg",5.90100659773595
1984,"avgghg",5.94583927064765
1985,"avgghg",5.98388936109777
1986,"avgghg",5.94254077394415
1987,"avgghg",5.96855002815699
1988,"avgghg",6.0344593553088
1989,"avgghg",6.02092559681892
1990,"avgghg",5.85132621389232
1991,"avgghg",5.79194329292326
1992,"avgghg",5.59280438741734
1993,"avgghg",5.53568166289342
1994,"avgghg",5.48504746082149
