"year","iso3c","country","pop","variant","var"
1950,"WLD","World",2499322157,"Medium",3
1951,"WLD","World",2543130380,"Medium",3
1952,"WLD","World",2590270899,"Medium",3
1953,"WLD","World",2640278797,"Medium",3
1954,"WLD","World",2691979339,"Medium",3
1955,"WLD","World",2746072141,"Medium",3
1956,"WLD","World",2801002631,"Medium",3
1957,"WLD","World",2857866857,"Medium",3
1958,"WLD","World",2916108097,"Medium",3
1959,"WLD","World",2970292188,"Medium",3
1960,"WLD","World",3019233434,"Medium",3
1961,"WLD","World",3068370609,"Medium",3
1962,"WLD","World",3126686743,"Medium",3
1963,"WLD","World",3195779247,"Medium",3
1964,"WLD","World",3267212338,"Medium",3
1965,"WLD","World",3337111983,"Medium",3
1966,"WLD","World",3406417036,"Medium",3
1967,"WLD","World",3475448166,"Medium",3
1968,"WLD","World",3546810808,"Medium",3
1969,"WLD","World",3620655275,"Medium",3
1970,"WLD","World",3695390336,"Medium",3
1971,"WLD","World",3770163092,"Medium",3
1972,"WLD","World",3844800885,"Medium",3
1973,"WLD","World",3920251504,"Medium",3
1974,"WLD","World",3995517077,"Medium",3
1975,"WLD","World",4069437231,"Medium",3
1976,"WLD","World",4142505882,"Medium",3
1977,"WLD","World",4215772490,"Medium",3
1978,"WLD","World",4289657708,"Medium",3
1979,"WLD","World",4365582871,"Medium",3
1980,"WLD","World",4444007706,"Medium",3
1981,"WLD","World",4524627658,"Medium",3
1982,"WLD","World",4607984871,"Medium",3
1983,"WLD","World",4691884238,"Medium",3
1984,"WLD","World",4775836074,"Medium",3
1985,"WLD","World",4861730613,"Medium",3
1986,"WLD","World",4950063339,"Medium",3
1987,"WLD","World",5040984495,"Medium",3
1988,"WLD","World",5132293974,"Medium",3
1989,"WLD","World",5223704308,"Medium",3
1990,"WLD","World",5316175862,"Medium",3
1991,"WLD","World",5406245867,"Medium",3
1992,"WLD","World",5492686093,"Medium",3
1993,"WLD","World",5577433523,"Medium",3
1994,"WLD","World",5660727993,"Medium",3
1995,"WLD","World",5743219454,"Medium",3
